created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2024-09-28 07:09:07 -0400,21643,28.00000,59.20000,1018.00000,0,0,0.00000,100.00000,30772768.00000
2024-09-28 07:14:12 -0400,21644,28.10000,57.90000,1018.00000,0,0,0.00000,100.00000,31077298.00000
2024-09-28 07:19:10 -0400,21645,28.00000,59.00000,1018.00000,0,0,0.00000,100.00000,31375586.00000
2024-09-28 07:24:14 -0400,21646,28.00000,58.90000,1018.00000,0,0,0.00000,100.00000,31680114.00000
2024-09-28 07:29:13 -0400,21647,28.00000,56.60000,1018.00000,0,0,0.00000,100.00000,31978604.00000
2024-09-28 07:34:18 -0400,21648,28.10000,57.30000,1018.00000,0,0,0.00000,100.00000,32283240.00000
2024-09-28 07:39:16 -0400,21649,28.10000,56.80000,1018.00000,0,0,0.00000,100.00000,32581524.00000
2024-09-28 07:44:22 -0400,21650,28.00000,57.00000,1018.00000,0,0,0.00000,100.00000,32886362.00000
2024-09-28 07:49:21 -0400,21651,28.10000,57.20000,1018.00000,0,0,0.00000,100.00000,33185292.00000
2024-09-28 07:54:26 -0400,21652,28.10000,57.40000,1018.00000,0,0,0.00000,100.00000,33491536.00000
2024-09-28 07:59:24 -0400,21653,28.00000,57.40000,1018.00000,0,0,0.00000,100.00000,33789720.00000
2024-09-28 08:04:29 -0400,21654,28.10000,57.50000,1018.00000,0,0,0.00000,100.00000,34094968.00000
2024-09-28 08:09:28 -0400,21655,28.20000,57.60000,1018.00000,0,0,0.00000,100.00000,34393152.00000
2024-09-28 08:14:32 -0400,21656,28.10000,57.90000,1018.00000,0,0,0.00000,100.00000,34697584.00000
2024-09-28 08:19:30 -0400,21657,28.10000,57.80000,1018.00000,0,0,0.00000,100.00000,34995784.00000
2024-09-28 08:24:35 -0400,21658,28.10000,57.80000,1018.00000,0,0,0.00000,100.00000,35300192.00000
2024-09-28 08:29:33 -0400,21659,28.20000,56.80000,1018.00000,0,0,0.00000,100.00000,35598480.00000
2024-09-28 08:34:38 -0400,21660,28.10000,57.20000,1018.00000,0,0,0.00000,100.00000,35903024.00000
2024-09-28 08:39:36 -0400,21661,28.20000,57.30000,1018.00000,0,0,0.00000,100.00000,36201704.00000
2024-09-28 08:44:43 -0400,21662,28.10000,57.20000,1018.00000,0,0,0.00000,100.00000,36505908.00000
2024-09-28 08:49:41 -0400,21663,28.20000,57.10000,1018.00000,0,0,0.00000,100.00000,36806572.00000
2024-09-28 08:54:46 -0400,21664,28.20000,56.90000,1018.00000,0,0,0.00000,100.00000,37111204.00000
2024-09-28 08:59:44 -0400,21665,28.10000,56.80000,1018.00000,0,0,0.00000,100.00000,37409696.00000
2024-09-28 09:04:49 -0400,21666,28.20000,56.90000,1018.00000,0,0,0.00000,100.00000,37714844.00000
2024-09-28 09:09:47 -0400,21667,28.20000,56.70000,1018.00000,0,0,0.00000,100.00000,38012820.00000
2024-09-28 09:14:52 -0400,21668,28.10000,56.80000,1018.00000,0,0,0.00000,100.00000,38317352.00000
2024-09-28 09:19:52 -0400,21669,28.20000,56.80000,1018.00000,0,0,0.00000,100.00000,38617100.00000
2024-09-28 09:24:57 -0400,21670,28.10000,56.50000,1018.00000,0,0,0.00000,100.00000,38921912.00000
2024-09-28 09:29:56 -0400,21671,28.10000,57.00000,1018.00000,0,0,0.00000,100.00000,39221016.00000
2024-09-28 09:35:00 -0400,21672,28.10000,57.40000,1018.00000,0,0,0.00000,100.00000,39525656.00000
2024-09-28 09:39:59 -0400,21673,28.10000,57.30000,1018.00000,0,0,0.00000,100.00000,39823100.00000
